t_s,rpm,speed_kmh,throttle_pct
0.215,0.0,0.0,14.9
0.430,0.0,0.0,14.9
0.646,0.0,0.0,14.9
0.846,0.0,0.0,14.9
1.061,0.0,0.0,14.9
1.277,0.0,0.0,14.9
1.493,0.0,0.0,14.9
1.709,0.0,0.0,14.9
1.925,0.0,0.0,14.9
2.141,0.0,0.0,14.9
2.355,0.0,0.0,14.9
2.570,0.0,0.0,14.9
2.786,0.0,0.0,14.9
3.001,0.0,0.0,14.9
3.217,0.0,0.0,14.9
3.431,0.0,0.0,14.9
3.647,0.0,0.0,14.9
3.862,0.0,0.0,14.9
4.079,0.0,0.0,14.9
4.294,0.0,0.0,14.9
4.511,141.5,0.0,10.2
4.726,920.0,0.0,10.6
4.941,1025.0,0.0,10.2
5.156,881.5,0.0,12.2
5.372,772.5,0.0,12.2
5.587,762.0,0.0,11.0
6.018,705.0,0.0,23.5
6.232,1317.5,0.0,16.9
6.448,1430.5,0.0,16.9
6.663,1374.5,1.0,17.3
6.877,1389.5,2.0,17.3
7.092,1404.5,3.0,17.3
7.308,1352.0,4.0,17.3
7.524,1354.0,5.0,17.3
7.725,1331.0,6.0,17.3
7.940,1296.0,7.0,16.9
8.156,1264.0,9.0,16.9
8.371,1226.5,10.0,16.9
8.586,1193.5,11.0,16.5
8.801,1218.5,12.0,16.5
9.017,1323.5,13.0,16.9
9.232,1368.0,13.0,16.9
9.448,1430.0,14.0,16.9
9.663,1447.5,14.0,18.0
9.878,1633.5,15.0,17.6
10.093,1688.0,16.0,17.6
10.308,1757.5,17.0,17.6
10.523,1852.5,17.0,17.6
10.738,1916.0,18.0,17.6
10.954,1941.5,19.0,17.6
11.169,2047.5,20.0,16.9
11.600,2085.5,20.0,16.9
11.816,2252.5,22.0,16.9
12.030,2301.0,23.0,16.5
12.245,2369.5,23.0,15.3
12.461,2383.5,23.0,15.7
12.677,2441.0,24.0,16.1
12.893,2462.0,24.0,16.1
13.109,2466.0,24.0,16.1
13.325,2469.5,24.0,16.1
13.539,2487.0,24.0,16.1
13.754,2484.0,24.0,16.1
13.970,2499.0,24.0,16.1
14.186,2526.0,24.0,16.1
14.402,2528.5,24.0,16.1
14.616,2546.0,25.0,16.1
15.031,2595.5,25.0,16.1
15.247,2626.5,26.0,16.1
15.461,2679.5,26.0,16.5
15.677,2720.5,26.0,16.5
15.893,2755.0,27.0,16.5
16.108,2763.0,27.0,16.5
16.323,2804.0,27.0,16.5
16.537,2786.5,27.0,16.5
