t_s,gear,rpm,speed_kmh,throttle_pct,load_pct,coolant_c,oil_c,fuel_pct,baro_kpa,voltage_v,timing_deg
0.201,0,1195.5,0.0,16.1,,,,46.7,100.0,13.4,
0.406,0,1204.5,0.0,16.1,17.6,54.0,,,,,-5.5
0.608,0,1200.0,0.0,16.1,,,52.0,46.7,100.0,,
0.811,0,1204.5,0.0,16.1,17.6,,,,,13.5,-5.5
1.016,0,1197.0,0.0,16.1,,54.0,52.0,46.7,,,
1.193,0,1203.0,0.0,16.1,,,,,100.0,13.4,-5.5
1.469,0,1181.5,0.0,16.1,18.4,54.0,52.0,,,,
1.673,0,1186.0,0.0,16.1,,,,46.7,100.0,13.5,
1.876,0,1195.5,0.0,16.1,17.6,54.0,,,,,-4.5
2.071,0,1193.5,0.0,16.1,,,52.0,46.7,100.0,,
2.275,0,1188.5,0.0,16.1,18.0,,,,,13.5,-4.5
2.479,0,1195.5,0.0,16.1,,54.0,52.0,46.7,,,
2.730,0,1204.0,0.0,16.1,,,,,100.0,13.5,-4.5
2.873,0,1204.0,0.0,16.1,16.9,54.0,52.0,,,,
3.116,0,1206.5,0.0,16.1,,,,46.7,100.0,13.5,
3.319,0,1177.5,0.0,16.1,18.8,54.0,,,,,-4.0
3.568,0,1177.5,0.0,16.1,,,52.0,46.7,100.0,,
3.771,0,1194.5,0.0,16.1,18.8,,,,,13.5,-4.5
3.975,0,1201.0,0.0,16.1,,54.0,52.0,46.7,,,
4.180,0,1219.0,0.0,16.1,,,,,100.0,13.5,-5.5
4.341,0,1205.5,0.0,16.1,18.0,54.0,52.0,,,,
4.543,0,1210.5,0.0,16.1,,,,46.7,100.0,13.6,
4.741,0,1205.5,0.0,16.1,17.6,55.0,,,,,-4.5
4.923,0,1215.0,0.0,16.1,,,52.0,46.7,100.0,,
5.116,0,1215.0,0.0,16.1,18.4,,,,,13.6,-5.5
5.323,0,1196.5,0.0,42.0,,55.0,52.0,46.7,,,
5.568,0,2036.0,0.0,10.2,,,,,100.0,13.6,-7.0
5.804,0,2107.0,0.0,13.7,3.9,55.0,52.0,,,,
6.033,0,1803.5,0.0,14.9,,,,46.7,100.0,13.6,
